,,,,,,bnd,bnd,bnd,bnd,bnd,bnd,bnd,com,com,e em v,e glbl,e int,e int v,e us l,e us s,e us sv,e us v,ls,mf,mf,mf,mf,mf,mf,mf,re,re,re
,Target,RFR,Leverage,Interest,Spread,PFIUX,PTLDX,VFISX,VAIPX,AGG,GOVT,HYLB,COMIX,CCRSX,DFEVX,VT,VTMGX,DFIVX,VFIAX,VSMAX,SFSNX,VRVIX,QMNIX,ABYIX,AHLIX,AQMNX,ASFYX,QMHIX,DBMF,KMLM,CSDIX,DFREX,VGSNX
PIMCO StocksPLUS® International Fund (Unhedged) Institutional Class,PSKIX,2.06%,1.81,3.00%,0.94%,90.50%,,,,,,,,,,,90.50%,,,,,,,,,,,,,,,,
PIMCO StocksPLUS® Absolute Return Fund Institutional Class,PSPTX,2.06%,1.90,2.85%,0.79%,95.00%,,,,,,,,,,,,,95.00%,,,,,,,,,,,,,,
PIMCO StocksPLUS® Fund Institutional Class,PSTKX,2.06%,2.00,2.25%,0.19%,,100.00%,,,,,,,,,,,,100.00%,,,,,,,,,,,,,,
PIMCO RAE PLUS International Fund Institutional Class,PTSIX,0.91%,1.83,1.25%,0.34%,91.50%,,,,,,,,,,,,91.50%,,,,,,,,,,,,,,,
PIMCO RAE PLUS Fund Institutional Class,PXTIX,1.07%,2.00,0.00%,-1.07%,100.00%,,,,,,,,,,,,,,,,100.00%,,,,,,,,,,,
AQR Long-Short Equity Fund Class I,QLEIX,1.48%,1.50,1.48%,0.00%,,,,,,,,,,,50.00%,,,,,,,100.01%,,,,,,,,,,
AQR Managed Futures Strategy HV Fund Class I,QMHIX,1.31%,1.50,1.75%,0.44%,,,,,,,,,,,,,,,,,,,,,150.00%,,,,,,,
AQR Trend Total Return Fund Class I,QNZIX,4.04%,2.33,0.00%,-4.04%,,,,,,#REF!,116.50%,,,,,,,58.25%,,,,,,,,,58.25%,,,,,
Return Stacked Bonds & Managed Futures ETF,RSBT,5.32%,2.25,5.00%,-0.32%,,,,,112.50%,,,,,,,,,,,,,,,,,112.50%,,,,,,
Return Stacked Global Stocks & Bonds ETF,RSSB,1.32%,1.90,5.00%,3.68%,,,,,,95.00%,,,,,95.00%,,,,,,,,,,,,,,,,,
Return Stacked US Stocks & Managed Futures ETF,RSST,6.12%,2.25,6.12%,0.00%,,,,,,,,,,,112.50%,,,#REF!,,,,,,,,112.50%,,,,,,
